queries,hasura_p50_ms,hasura_p95_ms,zero_p50_ms,zero_p95_ms
1000,1637.923738,1661.178581,3055.91655,3728.16583
2500,1729.092307,2702.74283,4163,5546
5000,2783.516484,4057.148749,7521.10145,12300.235115
7500,4993.322484,8366.944244,8050.01215,13534.85789
10000,5686.936401,9709.020597,11311.3509,16270.477775
12500,6069.844792,11899.719249,14067.41705,19747.32063
15000,nan,nan,17545.67605,24993.529095
