clients,hasura_p50_ms,hasura_p95_ms,zero_p50_ms,zero_p95_ms
50,1425.3354495,1427.2461851,771.46605,956.210975
100,1121.6506115,1125.22899205,1628.83095,1879.21887
150,1197.3897485,1203.0380979,2105.42825,2490.88443
200,1223.9072475,1231.43111855,2373.9309,2863.777635
225,1239.97662,1249.9736058,2544.1631,3135.09902
250,1230.471853,1238.35055265,3917.062,4510.219565
300,1290.3435735,1300.646366,nan,nan
350,1383.5940015,1396.0561567,nan,nan
